Start date,End date,Total (grid load) [MWh],Residual load [MWh],Hydro pumped storage [MWh]
01-08-23 0:00,01-08-23 1:00,"41,546.75","20,206.75",207.75
01-08-23 1:00,01-08-23 2:00,"39,990.25","18,980.50",463.75
01-08-23 2:00,01-08-23 3:00,"38,895.75","18,854.50","1,868.25"
01-08-23 3:00,01-08-23 4:00,"38,810.50","18,978.25","1,197.25"
01-08-23 4:00,01-08-23 5:00,"39,819.50","19,956.75","1,562.50"
01-08-23 5:00,01-08-23 6:00,"42,666.00","22,160.25","1,032.25"
01-08-23 6:00,01-08-23 7:00,"48,809.75","26,689.25",378.25
01-08-23 7:00,01-08-23 8:00,"53,634.25","30,183.00",12.75
01-08-23 8:00,01-08-23 9:00,"56,595.00","32,192.75",8
01-08-23 9:00,01-08-23 10:00,"58,292.75","31,066.25",123.5
01-08-23 10:00,01-08-23 11:00,"59,327.75","27,746.00",50.25
01-08-23 11:00,01-08-23 12:00,"60,970.25","24,092.75",810.5
01-08-23 12:00,01-08-23 13:00,"59,854.00","18,867.50","2,515.00"
01-08-23 13:00,01-08-23 14:00,"58,379.25","14,209.25","3,495.75"
01-08-23 14:00,01-08-23 15:00,"56,660.00","9,579.75","4,284.50"
01-08-23 15:00,01-08-23 16:00,"55,900.50","8,050.50","4,818.50"
01-08-23 16:00,01-08-23 17:00,"55,318.25","9,623.25","4,487.75"
01-08-23 17:00,01-08-23 18:00,"55,311.75","13,245.00","3,473.50"
01-08-23 18:00,01-08-23 19:00,"55,286.50","19,382.50","1,369.50"
01-08-23 19:00,01-08-23 20:00,"54,026.50","26,446.50",217.75
01-08-23 20:00,01-08-23 21:00,"51,900.50","29,964.75",15.75
01-08-23 21:00,01-08-23 22:00,"50,560.75","29,131.00",89.75
01-08-23 22:00,01-08-23 23:00,"47,778.75","26,704.75",60.75
01-08-23 23:00,02-08-23 0:00,"44,592.25","23,098.75",199.25
02-08-23 0:00,02-08-23 1:00,"42,247.50","21,326.25",342
02-08-23 1:00,02-08-23 2:00,"40,771.50","20,724.25",628.5
02-08-23 2:00,02-08-23 3:00,"40,324.25","21,954.75","2,419.00"
02-08-23 3:00,02-08-23 4:00,"40,133.75","22,842.50","2,869.75"
02-08-23 4:00,02-08-23 5:00,"40,934.75","25,173.75","2,000.50"
02-08-23 5:00,02-08-23 6:00,"43,509.25","28,632.50",385.25
02-08-23 6:00,02-08-23 7:00,"49,300.00","33,849.50",62
02-08-23 7:00,02-08-23 8:00,"53,822.00","36,922.75",18
02-08-23 8:00,02-08-23 9:00,"56,598.25","35,936.00",16
02-08-23 9:00,02-08-23 10:00,"58,149.75","33,374.00",141.5
02-08-23 10:00,02-08-23 11:00,"59,870.50","30,153.25",257.5
02-08-23 11:00,02-08-23 12:00,"61,310.25","27,132.50",441.75
02-08-23 12:00,02-08-23 13:00,"60,729.50","22,339.75","1,111.25"
02-08-23 13:00,02-08-23 14:00,"60,426.25","19,209.00","2,769.75"
02-08-23 14:00,02-08-23 15:00,"59,192.00","17,059.75","3,402.75"
02-08-23 15:00,02-08-23 16:00,"58,695.50","17,199.00","3,132.50"
02-08-23 16:00,02-08-23 17:00,"57,153.50","17,279.00","2,831.00"
02-08-23 17:00,02-08-23 18:00,"56,297.00","19,415.50","1,528.00"
02-08-23 18:00,02-08-23 19:00,"55,681.25","23,742.25",292.25
02-08-23 19:00,02-08-23 20:00,"55,008.50","25,814.00",10.5
02-08-23 20:00,02-08-23 21:00,"53,264.50","26,796.00",12.75
02-08-23 21:00,02-08-23 22:00,"50,977.00","25,030.75",15.75
02-08-23 22:00,02-08-23 23:00,"48,883.00","22,711.75",163.25
02-08-23 23:00,03-08-23 0:00,"45,535.75","18,721.50",403.25
03-08-23 0:00,03-08-23 1:00,"43,123.25","16,100.50","1,632.75"
03-08-23 1:00,03-08-23 2:00,"41,339.25","14,238.75","3,149.25"
03-08-23 2:00,03-08-23 3:00,"40,748.00","13,024.50","4,186.75"
03-08-23 3:00,03-08-23 4:00,"41,211.50","12,773.75","4,414.25"
03-08-23 4:00,03-08-23 5:00,"41,767.75","12,788.00","3,961.25"
03-08-23 5:00,03-08-23 6:00,"44,832.00","15,250.50","2,928.75"
03-08-23 6:00,03-08-23 7:00,"50,434.75","18,673.25",724.75
03-08-23 7:00,03-08-23 8:00,"54,795.00","19,310.75",27.75
03-08-23 8:00,03-08-23 9:00,"57,608.75","16,782.25",123
03-08-23 9:00,03-08-23 10:00,"58,202.25","12,705.25",394
03-08-23 10:00,03-08-23 11:00,"59,790.25","10,306.25",503.25
03-08-23 11:00,03-08-23 12:00,"60,986.75","7,850.50","1,699.25"
03-08-23 12:00,03-08-23 13:00,"60,367.00","4,771.00","2,823.00"
03-08-23 13:00,03-08-23 14:00,"58,670.50","1,690.25","3,705.50"
03-08-23 14:00,03-08-23 15:00,"56,986.00",-495.25,"4,202.50"
03-08-23 15:00,03-08-23 16:00,"55,542.75",-539.5,"3,820.25"
03-08-23 16:00,03-08-23 17:00,"55,379.50","3,380.00","4,009.00"
03-08-23 17:00,03-08-23 18:00,"56,135.50","10,295.75","2,773.00"
