Start date,End date,Total (grid load) [MWh],Residual load [MWh]
01-08-23 0:00,01-08-23 1:00,"38,439.50","16,911.00"
01-08-23 1:00,01-08-23 2:00,"36,966.00","15,144.75"
01-08-23 2:00,01-08-23 3:00,"35,948.25","13,726.00"
01-08-23 3:00,01-08-23 4:00,"36,445.25","14,225.25"
01-08-23 4:00,01-08-23 5:00,"37,583.75","15,467.00"
01-08-23 5:00,01-08-23 6:00,"40,830.50","18,795.00"
01-08-23 6:00,01-08-23 7:00,"46,029.75","23,692.00"
01-08-23 7:00,01-08-23 8:00,"51,742.75","28,561.50"
01-08-23 8:00,01-08-23 9:00,"55,496.25","30,760.75"
01-08-23 9:00,01-08-23 10:00,"57,543.75","30,197.50"
01-08-23 10:00,01-08-23 11:00,"58,258.00","27,656.50"
01-08-23 11:00,01-08-23 12:00,"58,894.25","25,134.75"
01-08-23 12:00,01-08-23 13:00,"58,911.25","22,170.50"
01-08-23 13:00,01-08-23 14:00,"58,473.50","19,076.75"
01-08-23 14:00,01-08-23 15:00,"57,440.25","16,066.25"
01-08-23 15:00,01-08-23 16:00,"56,078.00","14,325.75"
01-08-23 16:00,01-08-23 17:00,"54,545.25","13,987.50"
01-08-23 17:00,01-08-23 18:00,"54,348.75","17,243.50"
01-08-23 18:00,01-08-23 19:00,"53,848.50","22,919.75"
01-08-23 19:00,01-08-23 20:00,"52,626.00","28,776.00"
01-08-23 20:00,01-08-23 21:00,"49,669.25","30,529.75"
01-08-23 21:00,01-08-23 22:00,"47,376.50","29,557.75"
01-08-23 22:00,01-08-23 23:00,"44,518.25","26,800.25"
01-08-23 23:00,02-08-23 0:00,"41,141.00","23,155.00"
02-08-23 0:00,02-08-23 1:00,"40,549.75","21,705.25"
02-08-23 1:00,02-08-23 2:00,"39,220.00","20,594.25"
02-08-23 2:00,02-08-23 3:00,"38,229.25","19,970.75"
02-08-23 3:00,02-08-23 4:00,"38,289.00","20,739.50"
02-08-23 4:00,02-08-23 5:00,"39,534.50","22,850.25"
02-08-23 5:00,02-08-23 6:00,"42,773.75","27,065.00"
02-08-23 6:00,02-08-23 7:00,"47,550.25","31,675.50"
02-08-23 7:00,02-08-23 8:00,"51,174.75","33,413.25"
02-08-23 8:00,02-08-23 9:00,"53,510.75","32,177.50"
02-08-23 9:00,02-08-23 10:00,"54,615.25","28,778.75"
02-08-23 10:00,02-08-23 11:00,"56,915.25","26,929.00"
02-08-23 11:00,02-08-23 12:00,"58,407.00","25,139.25"
02-08-23 12:00,02-08-23 13:00,"59,078.00","22,871.00"
02-08-23 13:00,02-08-23 14:00,"58,739.75","19,942.00"
02-08-23 14:00,02-08-23 15:00,"57,671.00","17,727.75"
02-08-23 15:00,02-08-23 16:00,"56,312.25","16,950.00"
02-08-23 16:00,02-08-23 17:00,"54,963.50","17,855.75"
02-08-23 17:00,02-08-23 18:00,"54,386.00","20,197.75"
02-08-23 18:00,02-08-23 19:00,"54,153.25","23,223.50"
02-08-23 19:00,02-08-23 20:00,"53,360.00","25,833.75"
02-08-23 20:00,02-08-23 21:00,"50,929.25","25,494.00"
02-08-23 21:00,02-08-23 22:00,"48,824.50","23,721.50"
02-08-23 22:00,02-08-23 23:00,"45,524.75","19,929.25"
02-08-23 23:00,03-08-23 0:00,"42,397.00","15,671.25"
03-08-23 0:00,03-08-23 1:00,"39,425.50","11,053.00"
03-08-23 1:00,03-08-23 2:00,"38,081.00","9,149.00"
03-08-23 2:00,03-08-23 3:00,"37,456.00","8,142.75"
03-08-23 3:00,03-08-23 4:00,"38,052.25","8,470.75"
03-08-23 4:00,03-08-23 5:00,"39,751.00","9,972.00"
03-08-23 5:00,03-08-23 6:00,"43,003.25","12,970.25"
03-08-23 6:00,03-08-23 7:00,"47,665.75","16,251.00"
03-08-23 7:00,03-08-23 8:00,"52,396.75","17,309.50"
03-08-23 8:00,03-08-23 9:00,"55,542.75","14,822.00"
03-08-23 9:00,03-08-23 10:00,"57,032.75","10,556.50"
03-08-23 10:00,03-08-23 11:00,"58,783.25","7,689.50"
03-08-23 11:00,03-08-23 12:00,"60,040.00","5,788.25"
03-08-23 12:00,03-08-23 13:00,"60,048.00","3,926.25"
03-08-23 13:00,03-08-23 14:00,"59,454.00","2,134.75"
03-08-23 14:00,03-08-23 15:00,"58,308.75","1,010.00"
03-08-23 15:00,03-08-23 16:00,"57,263.25","2,035.25"
03-08-23 16:00,03-08-23 17:00,"54,591.00","3,468.75"
03-08-23 17:00,03-08-23 18:00,"53,604.50","8,426.50"
03-08-23 18:00,03-08-23 19:00,"53,089.50","15,614.00"
03-08-23 19:00,03-08-23 20:00,"52,504.25","22,446.75"
03-08-23 20:00,03-08-23 21:00,"49,879.00","24,907.50"
03-08-23 21:00,03-08-23 22:00,"47,500.50","24,906.75"
03-08-23 22:00,03-08-23 23:00,"44,920.25","23,785.00"
03-08-23 23:00,04-08-23 0:00,"41,660.50","21,710.50"
04-08-23 0:00,04-08-23 1:00,"40,417.50","23,395.00"
04-08-23 1:00,04-08-23 2:00,"38,992.25","23,411.50"
04-08-23 2:00,04-08-23 3:00,"38,223.75","23,771.75"
04-08-23 3:00,04-08-23 4:00,"38,324.75","25,209.25"
04-08-23 4:00,04-08-23 5:00,"39,763.50","27,996.25"
04-08-23 5:00,04-08-23 6:00,"42,671.25","32,024.75"
04-08-23 6:00,04-08-23 7:00,"47,705.25","37,335.50"
04-08-23 7:00,04-08-23 8:00,"51,303.00","39,292.25"
04-08-23 8:00,04-08-23 9:00,"53,881.25","37,900.50"
04-08-23 9:00,04-08-23 10:00,"55,613.00","35,131.00"
04-08-23 10:00,04-08-23 11:00,"56,633.00","31,909.50"
04-08-23 11:00,04-08-23 12:00,"57,669.50","29,569.25"
04-08-23 12:00,04-08-23 13:00,"58,048.75","27,893.00"
04-08-23 13:00,04-08-23 14:00,"57,115.00","26,256.00"
04-08-23 14:00,04-08-23 15:00,"56,092.50","25,669.75"
04-08-23 15:00,04-08-23 16:00,"55,212.00","26,498.00"
04-08-23 16:00,04-08-23 17:00,"53,637.50","28,046.00"
04-08-23 17:00,04-08-23 18:00,"52,575.75","31,387.25"
04-08-23 18:00,04-08-23 19:00,"51,515.25","35,847.50"
04-08-23 19:00,04-08-23 20:00,"49,784.50","39,545.75"
04-08-23 20:00,04-08-23 21:00,"47,862.00","41,267.00"
04-08-23 21:00,04-08-23 22:00,"46,548.25","40,933.75"
04-08-23 22:00,04-08-23 23:00,"43,418.50","37,960.00"
04-08-23 23:00,05-08-23 0:00,"40,245.50","34,926.00"
05-08-23 0:00,05-08-23 1:00,"38,298.75","33,729.50"
05-08-23 1:00,05-08-23 2:00,"36,274.75","31,689.00"
05-08-23 2:00,05-08-23 3:00,"35,311.75","30,812.75"
05-08-23 3:00,05-08-23 4:00,"34,640.25","30,594.75"
05-08-23 4:00,05-08-23 5:00,"34,821.75","31,306.50"
05-08-23 5:00,05-08-23 6:00,"35,063.25","31,998.25"
05-08-23 6:00,05-08-23 7:00,"35,701.75","32,336.75"
05-08-23 7:00,05-08-23 8:00,"37,943.25","32,033.25"
05-08-23 8:00,05-08-23 9:00,"41,325.75","31,041.50"
05-08-23 9:00,05-08-23 10:00,"44,091.25","29,027.25"
05-08-23 10:00,05-08-23 11:00,"45,760.25","26,505.75"
05-08-23 11:00,05-08-23 12:00,"46,426.50","23,887.00"
05-08-23 12:00,05-08-23 13:00,"46,454.25","21,655.75"
05-08-23 13:00,05-08-23 14:00,"45,434.25","19,791.75"
05-08-23 14:00,05-08-23 15:00,"44,923.00","20,080.25"
05-08-23 15:00,05-08-23 16:00,"44,031.00","21,669.25"
05-08-23 16:00,05-08-23 17:00,"42,747.75","24,207.75"
05-08-23 17:00,05-08-23 18:00,"42,565.50","28,710.25"
05-08-23 18:00,05-08-23 19:00,"42,606.50","33,271.50"
05-08-23 19:00,05-08-23 20:00,"41,801.75","35,995.00"
05-08-23 20:00,05-08-23 21:00,"40,584.50","36,234.75"
05-08-23 21:00,05-08-23 22:00,"39,750.00","34,642.50"
05-08-23 22:00,05-08-23 23:00,"38,064.25","31,735.00"
05-08-23 23:00,06-08-23 0:00,"35,272.75","28,178.25"
06-08-23 0:00,06-08-23 1:00,"33,343.75","26,098.00"
06-08-23 1:00,06-08-23 2:00,"32,140.50","25,086.75"
06-08-23 2:00,06-08-23 3:00,"31,228.25","24,176.50"
06-08-23 3:00,06-08-23 4:00,"30,791.25","24,104.75"
06-08-23 4:00,06-08-23 5:00,"30,887.50","24,704.00"
06-08-23 5:00,06-08-23 6:00,"30,544.75","24,771.50"
06-08-23 6:00,06-08-23 7:00,"30,782.25","24,937.50"
06-08-23 7:00,06-08-23 8:00,"32,794.00","25,413.50"
06-08-23 8:00,06-08-23 9:00,"36,216.00","25,899.75"
06-08-23 9:00,06-08-23 10:00,"40,316.75","26,399.75"
06-08-23 10:00,06-08-23 11:00,"43,109.75","25,925.00"
06-08-23 11:00,06-08-23 12:00,"44,901.50","25,492.25"
06-08-23 12:00,06-08-23 13:00,"46,120.00","25,080.50"
06-08-23 13:00,06-08-23 14:00,"45,011.00","22,814.25"
06-08-23 14:00,06-08-23 15:00,"43,715.00","21,047.50"
06-08-23 15:00,06-08-23 16:00,"43,223.25","20,788.50"
06-08-23 16:00,06-08-23 17:00,"42,671.75","21,235.25"
06-08-23 17:00,06-08-23 18:00,"43,534.00","23,716.50"
06-08-23 18:00,06-08-23 19:00,"42,465.75","24,325.75"
06-08-23 19:00,06-08-23 20:00,"41,345.50","24,433.00"
06-08-23 20:00,06-08-23 21:00,"40,082.25","23,370.25"
06-08-23 21:00,06-08-23 22:00,"39,635.50","21,666.75"
06-08-23 22:00,06-08-23 23:00,"38,941.00","19,230.25"
06-08-23 23:00,07-08-23 0:00,"36,710.00","15,087.50"
07-08-23 0:00,07-08-23 1:00,"35,332.25","12,607.25"
07-08-23 1:00,07-08-23 2:00,"33,956.50","9,580.50"
07-08-23 2:00,07-08-23 3:00,"33,042.75","6,875.25"
07-08-23 3:00,07-08-23 4:00,"33,605.50","5,727.50"
07-08-23 4:00,07-08-23 5:00,"35,286.75","5,971.50"
07-08-23 5:00,07-08-23 6:00,"38,959.00","8,803.25"
07-08-23 6:00,07-08-23 7:00,"44,499.00","12,755.00"
07-08-23 7:00,07-08-23 8:00,"49,428.00","15,079.25"
07-08-23 8:00,07-08-23 9:00,"52,402.75","14,038.00"
07-08-23 9:00,07-08-23 10:00,"53,739.25","10,360.50"
07-08-23 10:00,07-08-23 11:00,"55,987.75","7,800.75"
07-08-23 11:00,07-08-23 12:00,"57,515.00","5,749.50"
07-08-23 12:00,07-08-23 13:00,"58,222.00","5,315.75"
07-08-23 13:00,07-08-23 14:00,"57,867.25","3,026.25"
07-08-23 14:00,07-08-23 15:00,"56,930.75",333.25
07-08-23 15:00,07-08-23 16:00,"55,857.50",-728.5
07-08-23 16:00,07-08-23 17:00,"54,536.50",101.5
07-08-23 17:00,07-08-23 18:00,"53,950.50","3,436.75"
07-08-23 18:00,07-08-23 19:00,"53,797.50","8,081.25"
07-08-23 19:00,07-08-23 20:00,"53,054.00","14,127.25"
07-08-23 20:00,07-08-23 21:00,"50,763.50","16,231.50"
07-08-23 21:00,07-08-23 22:00,"48,690.00","15,843.50"
07-08-23 22:00,07-08-23 23:00,"45,699.25","13,696.25"
07-08-23 23:00,08-08-23 0:00,"42,673.00","11,113.00"
08-08-23 0:00,08-08-23 1:00,"38,166.50","7,542.50"
08-08-23 1:00,08-08-23 2:00,"36,193.00","5,627.50"
08-08-23 2:00,08-08-23 3:00,"35,374.75","4,661.25"
08-08-23 3:00,08-08-23 4:00,"35,923.25","5,150.00"
08-08-23 4:00,08-08-23 5:00,"37,675.25","6,585.00"
08-08-23 5:00,08-08-23 6:00,"41,297.25","10,233.25"
08-08-23 6:00,08-08-23 7:00,"45,845.25","12,973.25"
08-08-23 7:00,08-08-23 8:00,"50,355.00","14,265.00"
08-08-23 8:00,08-08-23 9:00,"53,236.50","11,608.00"
08-08-23 9:00,08-08-23 10:00,"54,865.25","5,584.50"
08-08-23 10:00,08-08-23 11:00,"57,091.25","1,537.25"
08-08-23 11:00,08-08-23 12:00,"58,861.75",-539.25
08-08-23 12:00,08-08-23 13:00,"59,250.75","-1,083.25"
08-08-23 13:00,08-08-23 14:00,"58,901.00","-1,230.00"
08-08-23 14:00,08-08-23 15:00,"57,650.25",-740.5
08-08-23 15:00,08-08-23 16:00,"56,301.00","1,124.25"
08-08-23 16:00,08-08-23 17:00,"54,977.25","4,142.75"
08-08-23 17:00,08-08-23 18:00,"54,149.75","9,110.00"
08-08-23 18:00,08-08-23 19:00,"53,923.50","14,733.50"
08-08-23 19:00,08-08-23 20:00,"53,236.50","21,476.25"
08-08-23 20:00,08-08-23 21:00,"50,771.75","23,550.75"
08-08-23 21:00,08-08-23 22:00,"48,648.50","23,123.00"
08-08-23 22:00,08-08-23 23:00,"45,423.25","20,827.50"
08-08-23 23:00,09-08-23 0:00,"42,245.75","18,006.75"
09-08-23 0:00,09-08-23 1:00,"39,473.50","16,716.50"
09-08-23 1:00,09-08-23 2:00,"37,834.50","15,689.00"
09-08-23 2:00,09-08-23 3:00,"37,224.25","15,592.75"
09-08-23 3:00,09-08-23 4:00,"37,633.75","16,658.50"
09-08-23 4:00,09-08-23 5:00,"39,086.50","18,632.75"
09-08-23 5:00,09-08-23 6:00,"42,070.75","22,205.00"
09-08-23 6:00,09-08-23 7:00,"46,822.75","27,388.00"
09-08-23 7:00,09-08-23 8:00,"50,759.50","30,505.50"
09-08-23 8:00,09-08-23 9:00,"53,296.50","29,910.50"
09-08-23 9:00,09-08-23 10:00,"54,669.50","26,233.00"
09-08-23 10:00,09-08-23 11:00,"56,850.75","23,519.25"
09-08-23 11:00,09-08-23 12:00,"58,792.75","21,217.75"
09-08-23 12:00,09-08-23 13:00,"59,525.50","18,854.25"
09-08-23 13:00,09-08-23 14:00,"59,250.25","16,584.75"
09-08-23 14:00,09-08-23 15:00,"58,398.75","15,485.75"
09-08-23 15:00,09-08-23 16:00,"57,677.50","16,586.50"
09-08-23 16:00,09-08-23 17:00,"55,934.50","18,844.75"
09-08-23 17:00,09-08-23 18:00,"54,468.75","23,205.75"
09-08-23 18:00,09-08-23 19:00,"52,984.00","28,716.50"
09-08-23 19:00,09-08-23 20:00,"51,439.75","34,983.75"
09-08-23 20:00,09-08-23 21:00,"49,308.00","37,785.25"
09-08-23 21:00,09-08-23 22:00,"47,291.25","37,604.00"
09-08-23 22:00,09-08-23 23:00,"44,430.50","35,741.00"
09-08-23 23:00,10-08-23 0:00,"41,456.75","33,548.50"
10-08-23 0:00,10-08-23 1:00,"38,316.75","32,002.75"
10-08-23 1:00,10-08-23 2:00,"36,896.00","30,952.75"
10-08-23 2:00,10-08-23 3:00,"36,293.75","30,442.75"
10-08-23 3:00,10-08-23 4:00,"36,829.50","31,096.25"
10-08-23 4:00,10-08-23 5:00,"38,286.25","32,665.25"
10-08-23 5:00,10-08-23 6:00,"41,438.75","36,018.50"
10-08-23 6:00,10-08-23 7:00,"46,296.75","40,440.25"
10-08-23 7:00,10-08-23 8:00,"50,696.75","41,278.25"
10-08-23 8:00,10-08-23 9:00,"53,666.50","37,073.75"
10-08-23 9:00,10-08-23 10:00,"55,208.25","30,140.75"
10-08-23 10:00,10-08-23 11:00,"57,037.25","24,500.25"
10-08-23 11:00,10-08-23 12:00,"58,456.00","20,717.25"
10-08-23 12:00,10-08-23 13:00,"58,451.25","17,674.00"
10-08-23 13:00,10-08-23 14:00,"57,680.50","16,034.00"
10-08-23 14:00,10-08-23 15:00,"56,306.75","15,746.50"
10-08-23 15:00,10-08-23 16:00,"54,700.25","17,378.75"
10-08-23 16:00,10-08-23 17:00,"53,208.00","21,546.50"
10-08-23 17:00,10-08-23 18:00,"52,334.00","28,752.50"
10-08-23 18:00,10-08-23 19:00,"51,904.50","37,960.00"
10-08-23 19:00,10-08-23 20:00,"51,452.50","45,394.00"
10-08-23 20:00,10-08-23 21:00,"49,013.25","46,123.25"
10-08-23 21:00,10-08-23 22:00,"46,899.00","44,458.50"
10-08-23 22:00,10-08-23 23:00,"43,851.50","41,253.75"
10-08-23 23:00,11-08-23 0:00,"40,655.75","37,914.00"
11-08-23 0:00,11-08-23 1:00,"38,965.25","36,720.25"
11-08-23 1:00,11-08-23 2:00,"37,638.50","34,930.75"
11-08-23 2:00,11-08-23 3:00,"36,845.75","33,499.50"
11-08-23 3:00,11-08-23 4:00,"37,136.00","33,377.75"
11-08-23 4:00,11-08-23 5:00,"38,657.00","34,619.75"
11-08-23 5:00,11-08-23 6:00,"41,529.75","37,223.50"
11-08-23 6:00,11-08-23 7:00,"46,044.25","40,607.25"
11-08-23 7:00,11-08-23 8:00,"50,292.50","40,418.75"
11-08-23 8:00,11-08-23 9:00,"52,447.25","34,430.00"
11-08-23 9:00,11-08-23 10:00,"53,392.50","26,767.50"
11-08-23 10:00,11-08-23 11:00,"54,142.25","20,319.50"
11-08-23 11:00,11-08-23 12:00,"55,245.25","15,904.75"
11-08-23 12:00,11-08-23 13:00,"55,173.75","12,519.00"
11-08-23 13:00,11-08-23 14:00,"54,050.75","10,735.25"
11-08-23 14:00,11-08-23 15:00,"52,766.25","11,295.50"
11-08-23 15:00,11-08-23 16:00,"52,333.50","14,934.75"
